domain,country,provider_type,provider,count
uv.hu-berlin.de,Germany,2.0,HU Berlin,
h-da.de,Germany,2.0,Hochschule Darmstadt,
med.uni-heidelberg.de,Germany,2.0,Universität Heidelberg,
hs-mannheim.de,Germany,2.0,Hochschule Mannheim,
mail.uni-kiel.de,Germany,2.0,Universität Kiel,
srh.de,unknown,1.0,0,
deichmann.com,unknown,1.0,0,
uni.lu,Luxembourg,2.0,University of Luxemburg,
ostfalia.de,Germany,2.0,Ostfalia Hochschule für angewandte Wissenschaften,
mein.gmx,0,0.0,0.0,
hs-duesseldorf.de,Germany,2.0,Hochschule Düsseldorf,
chello.at,0,0.0,0.0,
yahoo.co.uk,unknown,0.0,0.0,
studmail.w-hs.de,Germany,2.0,Westfälische Hochschule,
uni-passau.de,Germany,2.0,Universität Passau,
siemens-energy.com,unknown,1.0,0,
schulepoenitz.de,unknown,1.0,0,
psych.uni-frankfurt.de,Germany,2.0,Universität Frankfurt,
thieme.de,unknown,1.0,0,
hs-esslingen.de,Germany,2.0,Hochschule Esslingen,
student.uni-siegen.de,Germany,2.0,Universität Siegen,
cedis.fu-berlin.de,Germany,2.0,FU Berlin,
ub.uni-freiburg.de,Germany,2.0,Universität Freiburg,
suub.uni-bremen.de,Germany,2.0,Universität Bremen,
stadt-frankfurt.de,unknown,1.0,0,
phbern.ch,Switzerland,2.0,PHBern - University of Teacher Education Bern,
uni-goettingen.de,Germany,2.0,Universität Göttingen,
stud.th-deg.de,Germany,2.0,TH Deggendorf,
lk.brandenburg.de,unknown,1.0,0,
hfh.ch,Switzerland,2.0,HfH – University of Applied Sciences of Special Needs Education,
windowslive.com,unknown,0.0,0.0,
studierende.uni-flensburg.de,Germany,2.0,Universität Flensburg,
oth-aw.de,Germany,2.0,Ostbayerische Technische Hochschule Amberg-Weiden,
phzh.ch,Switzerland,2.0,PH Zürich - Pädagogische Hochschule Zürich,
medma.uni-heidelberg.de,Germany,2.0,Universität Heidelberg,
htwsaar.de,Germany,2.0,HTW Saar,
muenchen.de,unknown,1.0,0,
rocketmail.com,unknown,0.0,0.0,
mellerud.de,unknown,1.0,0,
vdivde-it.de,unknown,1.0,0,
unibw.de,Germany,2.0,Universität der Bundeswehr München,
ksb-sg.ch,unknown,1.0,0,
tu-ilmenau.de,Germany,2.0,TU Ilmenau,
hs-mittweida.de,Germany,2.0,Hochschule Mittweida,
stud.uni-saarland.de,Germany,2.0,Universität des Saarlandes,
mci.edu,Austria,2.0,MCI-Management Center Innsbruck,
hildegardis-bochum.de,unknown,1.0,0,
pt.lu,unknown,1.0,0,
verwaltung.uni-bonn.de,Germany,2.0,Universität Bonn,
uni-erfurt.de,Germany,2.0,Universität Erfurt,
fh-zwickau.de,Germany,2.0,Westsächsische Hochschule Zwickau (FH),
iserv-willms.de,unknown,1.0,0,
yandex.ru,unknown,0.0,0.0,
hswt.de,Germany,2.0,Hochschule Weihenstephan-Triesdorf,
f-bb.de,unknown,1.0,0,
hszg.de,Germany,2.0,Hochschule Zittau/Görlitz,
stat-up.com,unknown,1.0,0,
iais.fraunhofer.de,unknown,1.0,0,
goethe.de,unknown,1.0,0,
uni-osnabrueck.de,Germany,2.0,Universität Osnabrück,
dm.de,unknown,1.0,0,
fh-erfurt.de,Germany,2.0,FH Erfurt,
fh-kiel.de,Germany,2.0,FH Kiel,
msn.com,unknown,0.0,0.0,
hs-fresenius.de,Germany,2.0,Hochschule Fresenius,
ipa.fraunhofer.de,unknown,1.0,0,
ewetel.net,unknown,1.0,0,
kompetenzz.de,unknown,1.0,0,
uni-vechta.de,Germany,2.0,Hochschule Vechta,
hnu.de,Germany,2.0,Hochschule Neu-Ulm,
uzh.ch,Switzerland,2.0,Universität Zürich,
hispeed.ch,unknown,1.0,0,
e.mail.de,0,0.0,0.0,
mozmail.com,unknown,1.0,0,
mdr.de,unknown,1.0,0,
de.bosch.com,unknown,1.0,0,
ifw.uni-hannover.de,Germany,2.0,Universität Hannover,
tnt.uni-hannover.de,Germany,2.0,Universität Hannover,
hsu-hh.de,Germany,2.0,HSU Hamburg,
evh-bochum.de,Germany,2.0,Evangelische Hochschule Rheinland-Westfalen-Lippe,
uni-rostock.de,Germany,2.0,Universität Rostock,
nuernberger.de,unknown,1.0,0,
hs-worms.de,Germany,2.0,Hochschule Worms,
schule.bremen.de,unknown,1.0,0,
drv-bund.de,unknown,1.0,0,
uk-halle.de,unknown,1.0,0,
lakoev.brandenburg.de,unknown,1.0,0,
imis.uni-luebeck.de,Germany,2.0,Universität Lübeck,
fz-juelich.de,unknown,1.0,0,
sick.de,unknown,1.0,0,
mnet-mail.de,0,0.0,0.0,
hs-gesundheit.de,Germany,2.0,Hochschule für Gesundheit Bochum,
yahoo.it,unknown,0.0,0.0,
schulen.nuernberg.de,unknown,1.0,0,
kaufland.com,unknown,1.0,0,
edu.letteverein.berlin,unknown,1.0,0,
mach.de,unknown,1.0,0,
roche.com,unknown,1.0,0,
hotmail.ch,unknown,0.0,0.0,
uos.de,unknown,1.0,0,
uibk.ac.at,Austria,2.0,Universität Innsbruck,
uke.de,unknown,1.0,0,
stadtdo.de,unknown,1.0,0,
sunrise.ch,unknown,1.0,0,
uni-heidelberg.de,Germany,2.0,Universität Heidelberg,
fraport.de,unknown,1.0,0,
fom-net.de,unknown,1.0,0,
tln.bfw-hamburg.de,unknown,1.0,0,
th-rosenheim.de,Germany,2.0,TH Rosenheim,
rechnungshof.rlp.de,unknown,1.0,0,
hnee.de,Germany,2.0,HNE Eberswalde,
gmx-topmail.de,0,0.0,0.0,
deka.de,unknown,1.0,0,
phsg.ch,Switzerland,2.0,PHSG - Pädagogische Hochschule St.Gallen,
bfz.de,unknown,1.0,0,
uol.de,Germany,2.0,Universität Oldenburg,
kreisgg.de,unknown,1.0,0,
schueco.com,unknown,1.0,0,
uni-flensburg.de,Germany,2.0,Universität Flensburg,
appliedai-institute.de,unknown,1.0,0,
vodafone.de,unknown,1.0,0,
dekra.com,unknown,1.0,0,
medizin.uni-leipzig.de,Germany,2.0,Universität Leipzig,
bundeswehr.org,unknown,1.0,0,
